,Latitude,Longitude,month_years,ChlA
1614,29.0334,-92.39,2007-04,0.37556
1608,28.87,-90.44253,2007-04,2.76
1635,29.03337,-92.39,2007-04,0.53
1669,29.01952,-90.46382,2007-04,11.89
1666,29.01952,-90.46388,2007-04,5.2
1673,29.01932,-90.46402,2007-04,3.47
1604,28.87212,-90.44398,2007-04,0.99
1671,29.0193,-90.46392,2007-04,4.65
1588,28.8719,-90.4448,2007-04,1.4544
1600,28.87187,-90.4448,2007-04,1.66
1610,28.87022,-90.44273,2007-04,2.34
1606,28.87012,-90.44297,2007-04,1.6
1612,28.87012,-90.44307,2007-04,2.25
1602,28.87212,-90.44432,2007-04,1.39
1677,29.03718,-90.46443,2007-04,2.15
1649,29.0196,-90.4639,2007-04,13.276
1668,29.01955,-90.4639,2007-04,3.18
